Psalter,Psalter Book,Psalm,Version,Meter,Canto,CantoID,Paragraph,StanzaQuartrain,LineIndent,LineNum,VerseNum,SpanText
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,2,4,Y,16,4,which wind drives to and fro.
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,5,N,17,5,In judgment therefore shall not stand
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,5,Y,18,5,such as ungodly are;
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,5,N,19,5,Nor in th' assembly of the just
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,5,Y,20,5,shall wicked men appear.
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,6,N,21,6,For why? the way of godly men
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,6,Y,22,6,unto the Lord is known:
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,6,N,23,6,Whereas the way of wicked men
1650 Psalter,Book 1 (Psalm 1-41),1,First,"8,6,8,6",Ps. 1:3-6,2,3,6,Y,24,6,shall quite be overthrown.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,1,N,1,1,Why rage the heathen? and vain things
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,1,Y,2,1,why do the people mind?
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,1,N,3,2,"Kings of the earth do set themselves,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,1,Y,4,2,"and princes are combin'd,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,2,N,5,2,"To plot against the Lord, and his"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,2,Y,6,2,"Anointed, saying thus,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,2,N,7,3,"Let us asunder break their bands,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,1,2,Y,8,3,and cast their cords from us.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,3,N,9,4,He that in heaven sits shall laugh;
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,3,Y,10,4,the Lord shall scorn them all.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,3,N,11,5,"Then shall he speak to them in wrath,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,3,Y,12,5,in rage he vex them shall.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,4,N,13,6,"Yet, notwithstanding, I have him"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,4,Y,14,6,to be my King appointed;
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,4,N,15,6,"And over Sion, my holy hill,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:1-6,1,2,4,Y,16,6,I have him King anointed.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,5,N,17,7,The sure decree I will declare:
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,5,Y,18,7,"The Lord hath said to me,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,5,N,19,7,Thou art mine only Son; this day
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,5,Y,20,7,I have begotten thee.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,6,N,21,8,"Ask of me, and for heritage"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,6,Y,22,8,the heathen I'll make thine;
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,6,N,23,8,"And, for possession, I to thee"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,3,6,Y,24,8,will give earth's utmost line.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,7,N,25,9,"Thou shalt, as with a weighty rod"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,7,Y,26,9,"of iron, break them all;"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,7,N,27,9,"And, as a potter's sherd, thou shalt"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,7,Y,28,9,them dash in pieces small.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,8,N,29,10,"Now therefore, kings, be wise; be taught,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,8,Y,30,10,ye judges of the earth:
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,8,N,31,11,"Serve God in fear, and see that ye"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,4,8,Y,32,11,join trembling with your mirth.
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,5,9,N,33,12,"Kiss ye the Son, lest in his ire"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,5,9,Y,34,12,"ye perish from the way,"
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,5,9,N,35,12,If once his wrath begin to burn:
1650 Psalter,Book 1 (Psalm 1-41),2,First,"8,6,8,6",Ps. 2:7-12,2,5,9,Y,36,12,bless'd all that on him stay.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,1,N,1,1,"O Lord, how are my foes increas'd?"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,1,Y,2,1,against me many rise.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,1,N,3,2,"Many say of my soul, For him"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,1,Y,4,2,in God no succour lies.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,2,N,5,3,"Yet thou my shield and glory art,"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,2,Y,6,3,th' uplifter of mine head.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,2,N,7,4,"I cry'd, and, from his holy hill,"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,1,2,Y,8,4,the Lord me answer made.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,3,N,9,5,I laid me down and slept; I wak'd;
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,3,Y,10,5,for God sustained me.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,3,N,11,6,I will not fear though thousands ten
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,3,Y,12,6,set round against me be.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,4,N,13,7,"Arise, O Lord; save me, my God;"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,4,Y,14,7,for thou my foes hast stroke
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,4,N,15,7,"All on the cheek-bone, and the teeth"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,2,4,Y,16,7,of wicked men hast broke.
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,3,5,N,17,8,Salvation doth appertain
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,3,5,Y,18,8,unto the Lord alone:
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,3,5,N,19,8,"Thy blessing, Lord, for evermore"
1650 Psalter,Book 1 (Psalm 1-41),3,First,"8,6,8,6",Ps. 3:1-8,1,3,5,Y,20,8,thy people is upon.
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,1,N,1,1,"Give ear unto me when I call,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,1,Y,2,1,God of my righteousness:
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,1,N,3,1,"Have mercy, hear my pray'r; thou hast"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,1,Y,4,1,enlarg'd me in distress.
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,2,N,5,2,O ye the sons of men! how long
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,2,Y,6,2,will ye love vanities?
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,2,N,7,2,"How long my glory turn to shame,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,1,2,Y,8,2,and will ye follow lies?
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,2,3,N,9,3,"But know, that for himself the Lord"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,2,3,Y,10,3,the godly man doth chuse:
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,2,3,N,11,3,"The Lord, when I on him do call,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:1-3,1,2,3,Y,12,3,to hear will not refuse.
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,2,4,N,13,4,"Fear, and sin not; talk with your heart"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,2,4,Y,14,4,"on bed, and silent be."
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,2,4,N,15,5,"Off 'rings present of righteousness,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,2,4,Y,16,5,and in the Lord trust ye.
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,5,N,17,6,O who will shew us any good?
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,5,Y,18,6,is that which many say:
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,5,N,19,6,"But of thy countenance the light,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,5,Y,20,6,"Lord, lift on us alway."
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,6,N,21,7,"Upon my heart, bestow'd by thee,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,6,Y,22,7,more gladness I have found
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,6,N,23,7,"Than they, ev'n then, when corn and wine"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,3,6,Y,24,7,did most with them abound.
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,4,7,N,25,8,"I will both lay me down in peace,"
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,4,7,Y,26,8,and quiet sleep will take;
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,4,7,N,27,8,Because thou only me to dwell
1650 Psalter,Book 1 (Psalm 1-41),4,First,"8,6,8,6",Ps. 4:4-8,2,4,7,Y,28,8,"in safety, Lord, dost make."
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,1,N,1,1,"Give ear unto my words, O Lord"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,1,Y,2,1,my meditation weigh.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,1,N,3,2,"Hear my loud cry, my King, my God;"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,1,Y,4,2,for I to thee will pray.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,2,N,5,3,"Lord, thou shalt early hear my voice:"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,2,Y,6,3,I early will direct
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,2,N,7,3,"My pray'r to thee; and, looking up,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,1,2,Y,8,3,an answer will expect.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,3,N,9,4,For thou art not a God that doth
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,3,Y,10,4,in wickedness delight;
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,3,N,11,4,"Neither shall evil dwell with thee,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,3,Y,12,5,Nor fools stand in thy sight.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,4,N,13,5,All that ill-doers are thou hat'st;
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,4,Y,14,6,Cutt'st off that liars be:
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,4,N,15,6,The bloody and deceitful man
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,2,4,Y,16,6,abhorred is by thee.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,3,5,N,17,7,But I into thy house will come
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,3,5,Y,18,7,in thine abundant grace;
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,3,5,N,19,7,And I will worship in thy fear
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:1-7,1,3,5,Y,20,7,toward thy holy place.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,3,6,N,21,8,"Because of those mine enemies,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,3,6,Y,22,8,"Lord, in thy righteousness"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,3,6,N,23,8,Do thou me lead; do thou thy way
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,3,6,Y,24,8,make straight before my face.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,7,N,25,9,"For in their mouth there is no truth,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,7,Y,26,9,their inward part is ill;
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,7,N,27,9,"Their throat's an open sepulchre,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,7,Y,28,9,their tongue doth flatter still.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,8,N,29,10,"O God, destroy them; let them be"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,8,Y,30,10,by their own counsel quell'd:
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,8,N,31,10,"Them for their many sins cast out,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,4,8,Y,32,10,for they 'gainst thee rebell'd.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,9,N,33,11,"But let all joy that trust in thee,"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,9,Y,34,11,and still make shouting noise;
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,9,N,35,11,For them thou sav'st: let all that love
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,9,Y,36,11,thy name in thee rejoice.
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,10,N,37,12,"For, Lord, unto the righteous man"
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,10,Y,38,12,thou wilt thy blessing yield:
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,10,N,39,12,With favour thou wilt compass him
1650 Psalter,Book 1 (Psalm 1-41),5,First,"8,6,8,6",Ps. 5:8-12,2,5,10,Y,40,12,"about, as with a shield."
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,1,N,1,1,"Lord, in thy wrath rebuke me not;"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,1,N,2,1,Nor in thy hot rage chasten me.
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,1,N,3,2,"Lord, pity me, for I am weak:"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,1,N,4,2,"Heal me, for my bones vexed be."
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,2,N,5,3,My soul is also vexed sore;
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,2,N,6,3,"But, Lord, how long stay wilt thou make?"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,2,N,7,4,"Return, O Lord, my soul set free;"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,1,2,N,8,4,"O save me, for thy mercies' sake."
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,2,3,N,9,5,Because those that deceased are
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,2,3,N,10,5,Of thee shall no remembrance have;
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,2,3,N,11,5,And who is he that will to thee
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:1-5 I,1,2,3,N,12,5,Give praises lying in the grave?
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,2,4,N,13,6,"I with my groaning weary am,"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,2,4,N,14,6,I also all the night my bed
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,2,4,N,15,6,Have caused for to swim; and I
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,2,4,N,16,6,With tears my couch have watered.
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,5,N,17,7,"Mine eye, consum'd with grief, grows old,"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,5,N,18,7,Because of all mine enemies.
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,5,N,19,8,"Hence from me, wicked workers all;"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,5,N,20,8,For God hath heard my weeping cries.
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,6,N,21,9,"God hath my supplication heard,"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,6,N,22,9,My pray'r received graciously
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,6,N,23,10,"Sham'd and sore vex'd be all my foes,"
1650 Psalter,Book 1 (Psalm 1-41),6,First,"8,8,8,8",Ps. 6:6-10 I,2,3,6,N,24,10,Sham'd and back turned suddenly.
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,1,N,1,1,"In thy great indignation,"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,1,Y,2,1,"O Lord, rebuke me not;"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,1,N,3,1,"Nor on me lay thy chast 'ning hand,"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,1,Y,4,1,in thy displeasure hot.
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,2,N,5,2,"Lord, I am weak, therefore on me"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,2,Y,6,2,"have mercy, and me spare:"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,2,N,7,2,"Heal me, O Lord, because thou know'st"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,3,2,Y,8,2,my bones much vexed are.
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,3,N,9,3,"My soul is vexed sore: but, Lord,"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,3,Y,10,3,how long stay wilt thou make?
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,3,N,11,4,"Return, Lord, free my soul; and save"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,3,Y,12,4,"me, for thy mercies' sake."
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,4,N,13,5,Because of thee in death there shall
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,4,Y,14,5,no more remembrance be:
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,4,N,15,5,"Of those that in the grave do lie,"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:1-5 II,1,4,4,Y,16,5,who shall give thanks to thee?
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:6-10 II,2,5,5,N,17,6,"I with my groaning weary am,"
1650 Psalter,Book 1 (Psalm 1-41),6,Second,"8,6,8,6",Ps. 6:6-10 II,2,5,5,Y,18,6,and all the night my bed
